search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
114,"OPPO Reno 7, 6.43"", 128GB, 8GB RAM, 4500 MAh - Sunset Orange",14374.0,13,12534.0,,0,Non,Not a brand,Jumia
115,Magnetic Phone Cooler Pad Heatsink Radiator Watching Videos Holder,164.0,23,126.0,,0,Non,Not a brand,Jumia
116,Itel It2160 - 1.77-inch Dual SIM Mobile Phone - Black,788.0,15,666.0,,0,Non,Not a brand,Jumia
117,Nokia New 105 Dual Sim - Mobile Phone- Cyan +Free Mobile Holder,999.0,10,899.0,,0,Non,Not a brand,Jumia
118,"Vivo Y35 Dual SIM, 128GB, 8GB RAM, 4G LTE- Dawn Gold",10349.0,2,10119.0,,0,Non,Not a brand,Jumia
119,"Iku A12 Dual SIM, 64GB Memory, 4GB RAM - Atomic Gray",5174.0,11,4599.0,,0,Non,Not a brand,Jumia
120,"Iku X5 64GB, 4GB RAM, 4G, 5500mAh - Maroon Red",5289.0,4,5059.0,,0,Non,Not a brand,Jumia
121,Samsung Galaxy M52 - 6.7-inch 128GB/8GB Dual SIM 5G Mobile Phone - White,12999.0,11,11599.0,5.0,4,Non,Not a brand,Jumia
122,Lava Iris 46 – 5 Inch – 1GB/32GB RAM – 4G Dual SIM Mobile Phone - Black,2555.0,19,2080.0,,0,Non,Not a brand,Jumia
123,O Accessories Chain Mobile Phone Strap Of Colored Beads,100.0,28,72.0,5.0,1,Non,Not a brand,Jumia
124,O Accessories Chain Mobile Phone Strap Of Colored Beads,69.0,0,69.0,,0,Non,Not a brand,Jumia
125,XIAOMI Redmi 12 - 8GB/256GB - Dual Sim - 4G Mobile Phone - Silver,7888.0,0,7888.0,,0,Non,Not a brand,Jumia
126,Nokia 110 Dual Sim - Mobile Phone - BLUE +Free Mobile Holder,1699.0,26,1250.0,,0,Non,Not a brand,Jumia
127,Car Power Inverter - 150W  - 12V DC To 220V AC + USB Port - 5V,399.0,50,199.0,3.6,15,Non,Not a brand,Jumia
128,"Samsung Galaxy A54 Dual SIM Mobile Phone Android, 8GB RAM, 128GB, Awesome Lime",14499.0,0,14499.0,,0,Non,Not a brand,Jumia
129,O Accessories Chain Mobile Phone Strap Of Colored Beads,70.0,0,70.0,,0,Non,Not a brand,Jumia
130,Itel A60S – 2GB RAM – 64GB ROM,6800.0,56,2999.0,,0,Non,Not a brand,Jumia
131,OPPO A38 - 6.56-inch 128GB/4GB Dual SIM 4G Mobile Phone - Glowing Gold (D),7299.0,10,6599.99,,0,Non,Not a brand,Jumia
132,B-15 Stone Pattern Car Mount Phone Holder,327.0,30,229.0,,0,Non,Not a brand,Jumia
133,WQ-02 Foldable Creative Lazy Bracket Phone Holder-Black,241.0,30,169.0,5.0,1,Non,Not a brand,Jumia
134,XIAOMI Redmi 12C 4GB / 128GB - Grey - 4G - Mobile,5999.0,0,5999.0,,0,Non,Not a brand,Jumia
135,Car Phone Holder Air Vent Mount Stand,584.0,30,409.0,,0,Non,Not a brand,Jumia
136,realme C30s – 6.5 Inch – 64GB/3GBRAM,10500.0,60,4200.0,,0,Non,Not a brand,Jumia
137,Samsung Galaxy A04s - 6.5-inch 4GB/64GB Dual Sim 4G Mobile Phone - Black,4999.0,0,4999.0,5.0,1,Non,Not a brand,Jumia
138,OPPO A77S - 6.5-Inch 128GB/8GB Dual SIM  4G Mobile Phone  - Blue,8199.0,0,8199.0,,0,Non,Not a brand,Jumia
139,"Iku A23 6.1 Inches, Dual Sim 2GB RAM 32GB Internal Memory  - Forest Green",2299.0,5,2185.0,,0,Non,Not a brand,Jumia
140,Car Phone Holder Air Vent Mount Stand,584.0,30,409.0,,0,Non,Not a brand,Jumia
141,"OPPO A96, 6.59“  50MP+2MP Rear Camera, 16MP Front Camera, RAM 8GB + ROM 256GB - Sunset Blue",9999.0,1,9884.0,5.0,2,Non,Not a brand,Jumia
142,Vivo V27 5G 8GB RAM 256GB ROM,22500.0,21,17817.0,,0,Non,Not a brand,Jumia
143,Itel A60S – 2GB RAM – 64GB ROM,6800.0,51,3300.0,,0,Non,Not a brand,Jumia
144,Huawei Nova 11i - 6.8-inch 8GB/128GB Dual Sim 4G Mobile Phone - Starry Black,12999.0,11,11599.99,,0,Non,Not a brand,Jumia
145,O Accessories Chain Mobile Phone Strap Of Colored Beads_ Pearls _One Piece,130.0,27,95.0,,0,Non,Not a brand,Jumia
146,Itel S18 Dual SIM- 6.6Hd Inch-5000 MAh- 64GB - DIGITAL SILVER + Free Gift Mobile Holder,3999.0,15,3399.0,,0,Non,Not a brand,Jumia
147,"Iku T8 Tablet 8 Inch, 2GB RAM, 16GB Internal Memory, 4G-Silver",2599.0,0,2599.0,,0,Non,Not a brand,Jumia
148,O Accessories Chain Mobile Phone Strap Of Colored Beads,77.0,0,77.0,,0,Non,Not a brand,Jumia
149,Pioneer TS-A6987S,3250.0,0,3250.0,,0,Non,Not a brand,Jumia
150,Vivo Y22 - 4GB RAM - 128GB - Metaverse Green,7991.0,7,7399.0,,0,Non,Not a brand,Jumia
151,XIAOMI REDMI NOTE 12S 8GB- RAM- 256GB ROM DUAL -SIM,12999.0,11,11570.0,,0,Non,Not a brand,Jumia
152,XIAOMI Poco C40 - 3GB RAM - 32GB - Power Black,4999.0,20,3999.0,,0,Non,Not a brand,Jumia
153,XIAOMI Poco C40 - 3GB RAM - 32GB - Poco Yellow,4999.0,20,3999.0,,0,Non,Not a brand,Jumia
154,XIAOMI Redmi 9C 3GB Ram 64GB Memory - Lavender Purple,6899.0,18,5634.0,,0,Non,Not a brand,Jumia
155,"realme C55 Dual SIM, 8GB RAM, 256GB - Sunshower",10924.0,12,9659.0,,0,Non,Not a brand,Jumia
156,（Blue Set）QC 3.0 12V Dual USB Car Socket LED   Lighter Socket Splitter Panel ON/Off Rocker Toggle Switch For Truck Car,1287.0,23,990.0,,0,Non,Not a brand,Jumia
157,"OPPO A76 6.56 Inches ,Dual SIM ,4G LTE ,4GB Ram, 128 GB Storage - Glowing Black",6999.0,3,6799.0,4.5,2,Non,Not a brand,Jumia
158,Huawei Nova Y61- 6.52-inch 4GB/64GB Dual Sim 4G Mobile Phone - Midnight Black,9999.0,42,5799.99,,0,Non,Not a brand,Jumia
159,OPPO A55 - 6.51-inch 128GB/4GB Dual SIM 4G Mobile Phone - Starry Black,6299.0,0,6299.0,,0,Non,Not a brand,Jumia
160,Samsung Galaxy A54 5G - 6.6-inch 8GB/128GB Dual Sim - Mobile Phone - Awesome Lime,18399.0,18,14999.0,,0,Non,Not a brand,Jumia
161,Pioneer TS-A6987S,3250.0,0,3250.0,,0,Non,Not a brand,Jumia
162,"XIAOMI Redmi A1 Plus, 32GB, 2GB Ram, 6.5-inch, 4G, GB Black",4999.0,28,3599.0,,0,Non,Not a brand,Jumia
163,Vivo Y22 - 4GB RAM - 128GB - Metaverse Green,7991.0,7,7399.0,,0,Non,Not a brand,Jumia
164,XIAOMI REDMI NOTE 12S 8GB- RAM- 256GB ROM DUAL -SIM,12999.0,11,11570.0,,0,Non,Not a brand,Jumia
165,XIAOMI Poco C40 - 3GB RAM - 32GB - Power Black,4999.0,20,3999.0,,0,Non,Not a brand,Jumia
166,XIAOMI Poco C40 - 3GB RAM - 32GB - Poco Yellow,4999.0,20,3999.0,,0,Non,Not a brand,Jumia
167,XIAOMI Redmi 9C 3GB Ram 64GB Memory - Lavender Purple,6899.0,18,5634.0,,0,Non,Not a brand,Jumia
168,（Blue Set）QC 3.0 12V Dual USB Car Socket LED   Lighter Socket Splitter Panel ON/Off Rocker Toggle Switch For Truck Car,1287.0,23,990.0,,0,Non,Not a brand,Jumia
169,"OPPO A76 6.56 Inches ,Dual SIM ,4G LTE ,4GB Ram, 128 GB Storage - Glowing Black",6999.0,3,6799.0,4.5,2,Non,Not a brand,Jumia
170,"OPPO A76, 6.56"", 128GB, 6GB RAM, 5000 MAh - Glowing Black",10349.0,11,9199.0,,0,Non,Not a brand,Jumia
171,Huawei Nova Y61- 6.52-inch 4GB/64GB Dual Sim 4G Mobile Phone - Midnight Black,9999.0,42,5799.99,,0,Non,Not a brand,Jumia
172,realme C53 - 6GB RAM - 128GB - Gold,8639.0,7,7999.0,,0,Non,Not a brand,Jumia
173,Iku X5 Smartphone 6.9 Inches 4GBRam 64GB 4G 5500mAh - Forest Green,3599.0,5,3420.0,,0,Non,Not a brand,Jumia
174,Infinix Smart 6 - 6.6-inch 64GB/3GB Dual SIM Mobile Phone-Quetzal Cyan,3699.0,0,3699.0,,0,Non,Not a brand,Jumia
175,Car Air Outlet Six-claw Gravity Mobile Phone Holder Bracket,512.0,30,359.0,,0,Non,Not a brand,Jumia
176,OPPO A76 4G 128GB Glowing Black,6500.0,4,6250.0,,0,Non,Not a brand,Jumia
177,"Vivo Y36 8GB,128GB - Meteor Black",10924.0,5,10349.0,,0,Non,Not a brand,Jumia
178,Vivo V27E - 6.6 Inch - 256G/8G - Dual Sim 4G Mobile Phone - Glory Black,12500.0,7,11566.0,,0,Non,Not a brand,Jumia
179,Pioneer Round Car Speaker,1500.0,0,1500.0,,0,Non,Not a brand,Jumia
180,realme C25Y - 6.5-inch 128GB/4GB Dual SIM Mobile Phone -Metal Grey,5999.0,9,5488.0,,0,Non,Not a brand,Jumia
181,Huawei MatePad T10 - 9.7-inch 2GB/32GB Nano-SIM - DeepSea Blue,6444.0,16,5399.99,,0,Non,Not a brand,Jumia
182,Itel S18 Dual SIM- 6.6Hd Inch-5000 MAh- 64GB - MIDMIGHT BLACK+ Free Mobile Holder,3999.0,15,3399.0,,0,Non,Not a brand,Jumia
183,"OPPO A55, 6.51"", 128GB, 4GB RAM, 5000 MAh - Starry Black",8509.0,8,7819.0,,0,Non,Not a brand,Jumia
