search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1936,ADIDAS Men's • Yoga  M WB TEE H61169,1629.0,25,1222.0,0.0,0,official_store,adidas,Jumia
1937,Active Slip On Crew Neck Printed T-Shirt - Dark Blue,399.0,65,139.0,0.0,0,official_store,active,Jumia
1938,Decathlon Men's Hiking T-shirt Nh500,459.0,0,459.0,4.0,1,Non,Not a brand,Jumia
1939,KEMT POLO SHIRT,325.0,54,149.0,5.0,1,Non,Not a brand,Jumia
1940,"Andora Navy Blue ""Jungle"" Printed Hips Length Tee",374.0,33,249.0,5.0,1,Non,Not a brand,Jumia
1941,Red Circle Long Sleeves Basic Printed Tee - Magenta,451.0,58,189.0,0.0,0,Non,Not a brand,Jumia
1942,Mens Polo T-shirt Tops Business Wear,486.08,15,415.04,0.0,0,Non,Not a brand,Jumia
1943,Diadora Men Cotton Printed  T-Shirt - Blue,359.0,0,359.0,0.0,0,Non,Not a brand,Jumia
1944,Defacto Modern Fit High Collar Polo T-Shirt,498.96,22,388.92,4.0,1,official_store,defacto,Jumia
1945,Comfit Basic T-shirt Men Blue,360.0,31,250.0,0.0,0,Non,Not a brand,Jumia
1946,Mens Polo T-shirt Tops Business Wear,497.6,15,424.96,0.0,0,Non,Not a brand,Jumia
1947,Men's Short Sleeve T-shirt,244.16,1,241.6,0.0,0,Non,Not a brand,Jumia
1948,Fashion Harajuku t-shirt for men Big short-sleeved shirt with Chinese dragon print Fresh casual summer,493.6,0,493.6,0.0,0,Non,Not a brand,Jumia
1949,Mesery Cotton Printed T-Shirt For Men - Gray,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1950,Red Circle Long Sleeves Basic Printed Tee - Dark Olive,450.0,58,189.0,5.0,1,Non,Not a brand,Jumia
1951,Activ Stitched & Printed Patterned Short Sleeves Round Collar T-Shirt - Black,499.0,66,169.0,0.0,0,official_store,activ,Jumia
1952,American Eagle Striped Icon T-Shirt,700.0,50,350.0,4.6,5,Non,Not a brand,Jumia
1953,Caesar Pique Buttoned Casual Polo Shirt With RoundCollar,314.0,45,174.0,4.6,5,official_store,caesar,Jumia
1954,Reebok Men • Running Running Speedwick Singlet GR9229,569.0,0,569.0,5.0,1,official_store,reebok,Jumia
