,search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
156,157,The Black Stones T-Shirts Men Unique 100% Cotton Tees Round Collar Short Sleeve T Shirts Gift Idea Tops-black,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
157,158,Fashion Pure Black Men's Simple Lines Printed Short-sleeved Tops Low-profile Versatile Thin Daily Round Neck Pullover Comfortable Breath-SY030,922.0,42,535.0,,0,Non,Not a brand,Jumia
158,159,Fashion (Dark Yellow)Build Brand Men&#39;s T-shirts Round Neck Diy Logo Basic Thickened Neckline Shirts Custom Your Design 25 Colors Plus Size S-5XL OLD,1501.0,42,870.0,,0,Non,Not a brand,Jumia
159,160,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-16",1240.0,42,720.0,,0,Non,Not a brand,Jumia
160,161,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-18",1240.0,42,720.0,,0,Non,Not a brand,Jumia
161,162,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-15",1240.0,42,720.0,,0,Non,Not a brand,Jumia
162,163,Fashion Man's Viking T Shirts Raven Valhalla T-Shirt Vintage Round Neck Short Sleeves Tops 100% Cotton Tee Shirt Original-466487757-Black,1551.0,42,900.0,,0,Non,Not a brand,Jumia
163,164,"Fashion Men's 3D Print T-shirt, Lightning Landscape Print T-shirt, Black Summer T-shirt, Round Neck Beach T-shirt-SD-27",1240.0,42,720.0,,0,Non,Not a brand,Jumia
164,165,Fashion Summer Short-Sleeved T-Shirt Men 's   Round Neck Base Shirt Loose Mechanical Style Workwear Tops-black,1681.0,42,975.0,,0,Non,Not a brand,Jumia
165,166,Osaki Manga T Shirt Men 100% Cotton Casual T-Shirts Round Neck Anime Tee Shirt Short Sleeve Tops Plus Size-black-4,1661.44,39,1013.76,,0,Non,Not a brand,Jumia
